Enum	Vihkon elinympäristö	1.taso	2. taso	3. taso	Swedish	English
MY.habitatEnumValue49	Paljakan lähteikkö tai tihkupinta		Paljakan lähteikkö tai tihkupinta		Kärr på kalfjäll	Oroarctic/mountain spring complexes and habitats
MY.habitatEnumValue50	Paljakan kallio tai kivikko		Paljakan kallio tai kivikko		Hällmark eller stenfält på kalfjäll	Oroarctic/ rocky outcrop and scree
				Paljakan karu ja keskiravinteinen kallio tai kivikko		
				Paljakan kalkkikallio tai -kivikko		
				Paljakan serpentiinikallio tai -kivikko		
				Paljakan rotko tai kuru		
				Vyörysoraikko		
MY.habitatEnumValue51	Paljakan suo		Paljakan suo		Myrmark på kalfjäll	Oroarctic mountain mire
MY.habitatEnumValue52	Paljakan järvi tai lampi (sis. ranta)		Paljakan järvi tai lampi (sis. ranta)		Sjö och tjärna (inkl. strand) på kalfjäll	Oroarctic/mountain lake
MY.habitatEnumValue53	Paljakan virtavesi (sis. ranta)		Paljakan virtavesi (sis. ranta)		Oroarctic/mountain brookside or a stream	Oroarctic/mountain brookside or a stream
			Paljakan lampare tai allikko			
MY.habitatEnumValue56	Perinneympäristöt	Perinneympäristö			Vårdbiotop	Rural biotopes and cultural habitats
			Niitty			
MY.habitatEnumValue57	Kuiva niitty tai keto			Kuiva niitty eli keto	Torräng	Dry meadow
MY.habitatEnumValue59	Tuore niitty			Tuore niitty	Frisk äng	Mesic meadow
MY.habitatEnumValue61	Kostea niitty (pl. rantaniitty)			Kostea niitty (pl. rantaniitty)	Fuktäng (annan än strandäng)	Moist meadow (other than shore meadow)
MY.habitatEnumValue60	Hakamaa, lehdesniitty tai metsälaidun		Hakamaa, lehdesniitty tai metsälaidun		Hagmark, hamlingsäng eller skogsbete	Wooded pasture and meadow
				Hakamaa		
				Lehdesniitty		
				Metsälaidun		
MY.habitatEnumValue58	Nummi		Nummi		Hed	Heath
			Piennarniitty			
MY.habitatEnumValue62	Suoniitty		Suoniitty		Kärräng	Fen meadow
MY.habitatEnumValue79	Uuselinympäristöt	Uuselinympäristö tai muu ihmisen muuttama ympäristö			Nytthabitat	Secondary habitats
MY.habitatEnumValue64	Oja tai muu kaivanto (sis. ojanpientareet, metsäojat)		Oja tai muu kaivanto (sis. metsäojat)		Dike eller annat schakt (inkl. dikesren)	Ditch or other excavation
MY.habitatEnumValue66	Viljelymaat		Viljelymaat		Odlingsmark	Agricultural land
MY.habitatEnumValue67	Pelto			Pelto	Åker	Field
MY.habitatEnumValue68	Kylvönurmi			Kylvönurmi	Odlad vall	Lawn or grass
MY.habitatEnumValue69	Puu- tai pensasviljelmä			Puu- tai pensasviljelmä	Träd- och buskodling	Tree and bush plantation
